"","prod_name","title","reviewer","review","date","ratings","type_of_purchase"
"103","CRZ YOGA Women's Pima Cotton Workout Crop Top Short Sleeve Running T-Shirt Casual Athletic Tee ","Como descrito","Adriana Palmeira de Carvalho","Como  descrito","Reviewed in Brazil on 17 March 2023","5.0 out of 5 stars","Verified Purchase"
"104","CRZ YOGA Women's Pima Cotton Workout Crop Top Short Sleeve Running T-Shirt Casual Athletic Tee ","Super cute, worth the price!","Tammy","Absolutely love this top! Perfect fitting crop, light weight and soft fabric. The only thing that bothers me is the length in the arms is a little long, but that's just me being picky. Washes well and hung to dry. Plan on ordering more colours.Ordered the sleeveless style in red, which I'm super excited for!","Reviewed in Canada on 12 July 2023","5.0 out of 5 stars","Verified Purchase"
"105","CRZ YOGA Women's Pima Cotton Workout Crop Top Short Sleeve Running T-Shirt Casual Athletic Tee ","Love it","Chris","Cropped, cute and the material is soft and acceptable quality.. looks great with high waisted pants.Will buy more colour.","Reviewed in the United States on 13 January 2024","5.0 out of 5 stars","Verified Purchase"
"106","CRZ YOGA Women's Pima Cotton Workout Crop Top Short Sleeve Running T-Shirt Casual Athletic Tee ","Respirant et doux","Elisa","L'avantage de ce haut, c'est qu'en faisant du sport, le vêtement reste agréable à porter.Le tissus est respirant par sa forme et sa texture. Nickel pour transpirer sans étouffer.","Reviewed in Belgium on 13 January 2024","5.0 out of 5 stars","Verified Purchase"
"107","CRZ YOGA Women's Pima Cotton Workout Crop Top Short Sleeve Running T-Shirt Casual Athletic Tee ","Me encantan por ser muy cómodos.","Ileana Brito Gómez","Perfectos para entrenar, y proteger cuando hay frío.","Reviewed in Mexico on 3 February 2023","5.0 out of 5 stars","Verified Purchase"
"108","CRZ YOGA Women's Pima Cotton Workout Crop Top Short Sleeve Running T-Shirt Casual Athletic Tee ","Great fit!","Brittany Foster","Really like the length of this shirt. It’s a shorter crop and looks great with high waisted leggings. I have this in 4 colors and the light blue and maroon/purple are both the same length. The white and gray shirts are longer and are cropped at the waist. They are shorter than a normal t-shirt, but don’t feel like a cropped shirt because they are so long HOWEVER THEY ARE SUPER DUPER SOFT!!! I love the feel of my white and gray shirts! I wear them all the time because they are so soft! The blue and purple shirts are not made out of the same soft material, but still great shirts because of the length!","Reviewed in the United States on 23 July 2023","5.0 out of 5 stars","Verified Purchase"
"109","CRZ YOGA Women's Pima Cotton Workout Crop Top Short Sleeve Running T-Shirt Casual Athletic Tee ","Ideal for petite height sizing","paulene gogan","Good with high rise skirt or pants","Reviewed in the United Kingdom on 26 July 2023","5.0 out of 5 stars","Verified Purchase"
"110","CRZ YOGA Women's Pima Cotton Workout Crop Top Short Sleeve Running T-Shirt Casual Athletic Tee ","Good quality","Jocelyne Greer","Comfortable and cute. Fits well. Not to cropped not to long. Soft material. Bought more in other colors. Im usually a small or a med and i Bought a small","Reviewed in Canada on 9 September 2023","5.0 out of 5 stars","Verified Purchase"
"111","CRZ YOGA Women's Pima Cotton Workout Crop Top Short Sleeve Running T-Shirt Casual Athletic Tee ","Supe bien","Julia S.","Me gusto la tela y la calidad. Supe bien, muy recomendado, no lo piensen demasiado!","Reviewed in Mexico on 18 December 2021","4.6 out of 5 stars","Verified Purchase"
"112","CRZ YOGA Women's Pima Cotton Workout Crop Top Short Sleeve Running T-Shirt Casual Athletic Tee ","This is THE crop top","Jolene Stalley","Been searching for a crop top like this for a while. The material is perfect—comfortable and doesn’t wrinkle like other shirts I have! Paid more for another crop top from a more expensive brand that wrinkles way too much and is not as comfortable. I got this in black and plan on buying more in different colors!","Reviewed in the United States on 28 January 2024","5.0 out of 5 stars","Verified Purchase"
"113","CRZ YOGA Women's Pima Cotton Workout Crop Top Short Sleeve Running T-Shirt Casual Athletic Tee ","Love it","Diana","Lightweight and comfortable. It's quite oversized, but that's how I like my tops so I am happy with that","Reviewed in the United Kingdom on 1 January 2023","5.0 out of 5 stars","Verified Purchase"
"114","CRZ YOGA Women's Pima Cotton Workout Crop Top Short Sleeve Running T-Shirt Casual Athletic Tee ","Cute","Amazon Customer","Very soft comfy and light weight. A little shorter then I was expecting but not small or tight. perfect for workouts","Reviewed in Canada on 7 April 2022","5.0 out of 5 stars","Verified Purchase"
"115","CRZ YOGA Women's Pima Cotton Workout Crop Top Short Sleeve Running T-Shirt Casual Athletic Tee ","Very Cropped","Julie","Loved the color, very soft, washes well, but too cropped . I will still wear with high waisted bottoms, but I would of preferred about an extra inch in length . Note, wearing for fashion, not exercise. Material is stretchy like spandex, not soft cotton.","Reviewed in the United States on 5 October 2023","4.0 out of 5 stars","Verified Purchase"
"116","CRZ YOGA Women's Pima Cotton Workout Crop Top Short Sleeve Running T-Shirt Casual Athletic Tee ","LOVE THESE CROPS!","Amie P","I have this shirt in five colours now and I am obsessed with them. They look super cute and they’re super light weight and fit really nice. I wear them to the gym and I love them. Highly recommend. I don’t put them in the dryer, I hang dry them and fluff them up for a minute afterwards. Quality has remained great.","Reviewed in Canada on 17 February 2023","4.0 out of 5 stars","Verified Purchase"
"117","CRZ YOGA Women's Pima Cotton Workout Crop Top Short Sleeve Running T-Shirt Casual Athletic Tee ","Not quite gray","Amazon Customer","Lovely material for the price but I’d say the color is a bit more of a lilac than gray","Reviewed in the United Kingdom on 10 December 2023","5.0 out of 5 stars","Verified Purchase"
"118","CRZ YOGA Women's Pima Cotton Workout Crop Top Short Sleeve Running T-Shirt Casual Athletic Tee ","cute and lovely","Kattana","Looks really nice, feels good and durable.","Reviewed in the United Kingdom on 13 May 2020","4.0 out of 5 stars","Verified Purchase"
"119","CRZ YOGA Women's Pima Cotton Workout Crop Top Short Sleeve Running T-Shirt Casual Athletic Tee ","Nice crop, wrinkles a bit.","Alinita","This is nice material and a good length for all the high wasted yoga pants I have. The sleeves are a bit large, so it's kind of a ""look"" but overall, sporty, cute and light. I wear it all the time.","Reviewed in the United States on 8 October 2023","5.0 out of 5 stars","Verified Purchase"
"120","CRZ YOGA Women's Pima Cotton Workout Crop Top Short Sleeve Running T-Shirt Casual Athletic Tee ","super cute!!","elladee20","colour is exactly the same as the picture, very lightweight and flowy - definitely worth the purchase :)","Reviewed in Canada on 1 September 2023","5.0 out of 5 stars","Verified Purchase"
"121","CRZ YOGA Women's Pima Cotton Workout Crop Top Short Sleeve Running T-Shirt Casual Athletic Tee ","Size down","Adrianne Baca","Super comfortable, light weight, long sleeves which is nice especially if you’re not used to wearing crops.I’m a medium in most clothing but ordered a small & it fit perfectly","Reviewed in Canada on 4 June 2023","4.6 out of 5 stars","Verified Purchase"
"122","CRZ YOGA Women's Pima Cotton Workout Crop Top Short Sleeve Running T-Shirt Casual Athletic Tee ","Cute and comfy.","Amazon Customer","Love these tops! Bought them in black, green and burgundy. They're a great cut, lightweight and soft material.  I'm very happy with these and highly recommend them. I'm 5'5"" 148 lbs and I bought medium and they fit well.","Reviewed in the United States on 13 September 2023","5.0 out of 5 stars","Verified Purchase"
"123","CRZ YOGA Women's Pima Cotton Workout Crop Top Short Sleeve Running T-Shirt Casual Athletic Tee ","Soft & cute","Amazon Customer","Super cute, very soft and comfortable. I'm 5'6"" and 130 lbs - got the Medium instead of the Small hoping the length would hit just at my waist, but it's slightly shorter & too short for what I wanted. My belly button shows when my arms are down. For that reason, I'm returning - but I really liked the quality and will shop this brand again!","Reviewed in the United States on 10 August 2023","5.0 out of 5 stars","Verified Purchase"
"124","CRZ YOGA Women's Pima Cotton Workout Crop Top Short Sleeve Running T-Shirt Casual Athletic Tee ","Lightweight and really flattering","S&A","Ordered a size Large and I’m 40DD and it fits perfectly! Super lightweight and comfortable going to be perfect for working out or lounging in especially in the summer months! Definitely going to be ordering more in different colours!","Reviewed in Canada on 20 February 2024","5.0 out of 5 stars","Verified Purchase"
"125","CRZ YOGA Women's Pima Cotton Workout Crop Top Short Sleeve Running T-Shirt Casual Athletic Tee ","More cropped than expected","Amazon Customer","I do have a bit of a larger chest- bought a size bigger. Nice and loose. If you don’t mind a high crop it’s a great deal. Nice light material","Reviewed in Canada on 25 April 2023","5.0 out of 5 stars","Verified Purchase"
"126","CRZ YOGA Women's Pima Cotton Workout Crop Top Short Sleeve Running T-Shirt Casual Athletic Tee ","Some colors are shorter than others.","N","I ordered the Misty Merlot color and was totally in love. The PERFECT crop length that hits right at the top of most of my high waisted bottoms. So I came back to order more colors and the purple gray color and the smoky blush were shorter - the purple gray was MUCH shorter. Too short for me to wear comfortably, but could be good as a work out top. But I love the color so much so I want to re-order to see if it was just an inconsistent cut. Will come back to update when I get the new one in.","Reviewed in the United States on 8 August 2023","5.0 out of 5 stars","Verified Purchase"
"127","CRZ YOGA Women's Pima Cotton Workout Crop Top Short Sleeve Running T-Shirt Casual Athletic Tee ","Great quality","Joette Schoolcraft","Great quality - purchased a small but exchanging for a med. Wanted a loose fit and the small was a little snug in the armpit.","Reviewed in the United States on 18 February 2024","3.0 out of 5 stars","Verified Purchase"
"128","CRZ YOGA Women's Pima Cotton Workout Crop Top Short Sleeve Running T-Shirt Casual Athletic Tee ","Flowy and perfect for gym, leisure, or pajamas","Joette Schoolcraft","I ordered a large. For context, I am 5'8, 36D, typically wear a medium or large. I do wish it was just a bit longer, however I am on the taller side. It's very lightweight and perfect for the gym, wearing around the house, or as a sleep shirt. I could probably wear a medium, but it would be less flowy.","Reviewed in the United States on 20 January 2024","3.0 out of 5 stars","Verified Purchase"
"129","CRZ YOGA Women's Pima Cotton Workout Crop Top Short Sleeve Running T-Shirt Casual Athletic Tee ","Great for basics","N W","This is a great basic crop top that'll last a long time. It's wearable for many types of outfits. This shouldbe a staple in everyone's wardrobe.","Reviewed in the United States on 17 January 2024","3.0 out of 5 stars","Verified Purchase"
"130","CRZ YOGA Women's Pima Cotton Workout Crop Top Short Sleeve Running T-Shirt Casual Athletic Tee ","Top","Savannah Capolungo","Favorite workout top","Reviewed in the United States on 17 January 2024","5.0 out of 5 stars","Verified Purchase"
"131","CRZ YOGA Women's Pima Cotton Workout Crop Top Short Sleeve Running T-Shirt Casual Athletic Tee ","Too short","PNC","The shirt feels cheap, is see through and not very soft. I love their yoga pants though!","Reviewed in the United States on 3 January 2024","4.6 out of 5 stars","Verified Purchase"
"132","CRZ YOGA Women's Pima Cotton Workout Crop Top Short Sleeve Running T-Shirt Casual Athletic Tee ","Cute!","VSF","Hits at the perfect spot for high rise leggings. I’m 5’6, 145 lbs and ordered a medium","Reviewed in the United States on 3 January 2024","5.0 out of 5 stars","Verified Purchase"
"133","CRZ YOGA Women's Pima Cotton Workout Crop Top Short Sleeve Running T-Shirt Casual Athletic Tee ","very attractive but shorter than expected","Tg","I liked this but it was a little bit shorter than I expected.  I'm only 5' tall and have a short torso so I expected the length to come down lower on me like my other crop tops.","Reviewed in the United States on 14 November 2023","5.0 out of 5 stars","Verified Purchase"
"134","CRZ YOGA Women's Pima Cotton Workout Crop Top Short Sleeve Running T-Shirt Casual Athletic Tee ","Great buy","Lydia Tollinche","Love this top! I use it with my Lululemon leggins for everyday lounge wear. I also have it in black and i wear it with high waisted jeans for a more casual look. will purchase in another color soon.","Reviewed in the United States on 7 November 2023","4.0 out of 5 stars","Verified Purchase"
"135","CRZ YOGA Women's Pima Cotton Workout Crop Top Short Sleeve Running T-Shirt Casual Athletic Tee ","Love this","austin","this has been a great comfy workout shirt! love that its cotton","Reviewed in the United States on 29 December 2023","4.0 out of 5 stars","Verified Purchase"
"136","CRZ YOGA Women's Pima Cotton Workout Crop Top Short Sleeve Running T-Shirt Casual Athletic Tee ","decent top","Sydney","I recently got this top after absolutely loving ALL of my butterluxe CRZyoga purchases, but was definitely less excited about this one. The quality is not as good or soft as the butterluxe line, which I was expecting, but the fit was also not what I was looking for. I will still keep it, but just will definitely be keeping steady to the butterluxe line in the future in regard to the style, fit, and comfort of those pieces.","Reviewed in the United States on 16 January 2024","5.0 out of 5 stars","Verified Purchase"
"137","CRZ YOGA Women's Pima Cotton Workout Crop Top Short Sleeve Running T-Shirt Casual Athletic Tee ","transparent","MT","i really like it, but i think u can buy another more cheaply as the same quality .. it’s so soft! i order a LARGE, it’s a little large in sleeves !! i think the medium will fits better on me , if u like over size u can buy it but i recommend a medium the large it’s too big . i will like it more if the t shirt will be less transparent","Reviewed in the United States on 5 September 2023","3.0 out of 5 stars","Verified Purchase"
"138","CRZ YOGA Women's Pima Cotton Workout Crop Top Short Sleeve Running T-Shirt Casual Athletic Tee ","Love this tee shirt.","Eileen B.","It’s boxy as described.  Great buy for the money. Definitely recommend it!","Reviewed in the United States on 27 October 2023","4.0 out of 5 stars","Verified Purchase"
"139","CRZ YOGA Women's Pima Cotton Workout Crop Top Short Sleeve Running T-Shirt Casual Athletic Tee ","Beautiful","M Cesar","It’s light and loose fitting.  I love the overhang from my breasts.  It makes all the boys look!  Perfect any leggings, shorts and all. I definitely will add more to my wardrobe.","Reviewed in the United States on 12 September 2023","4.0 out of 5 stars","Verified Purchase"
"140","CRZ YOGA Women's Pima Cotton Workout Crop Top Short Sleeve Running T-Shirt Casual Athletic Tee ","It’s just ok…","Cuteclassychic","Plain work out shirt or casual wear. I thought it would be cotton but it’s a softer material. The price should be way cheaper.","Reviewed in the United States on 21 January 2024","4.0 out of 5 stars","Verified Purchase"
"141","CRZ YOGA Women's Pima Cotton Workout Crop Top Short Sleeve Running T-Shirt Casual Athletic Tee ","👍","Chandrakala Agarwala","👍","Reviewed in the United States on 27 September 2023","4.6 out of 5 stars","Verified Purchase"
"142","CRZ YOGA Women's Pima Cotton Workout Crop Top Short Sleeve Running T-Shirt Casual Athletic Tee ","Love it","Athena O'Neil","So if you’re anything like me, you hate returning things, ESPECIALLY if you bought something online. That is why I’m writing this review. I hope it can help someone. So I am 5’6, 175lbs, bust is 38. I got a medium and I’m so glad I did. I was debating on getting the large because on the size chart it said that a size 38 bust would fit better with a large but this is not true. I do not believe that this chart is accurate. It fit well and was not tight or baggy at all. I’ve seen a lot of other reviewers complain about how this shirt is too short, so I was initially very nervous to order because of this. I found that this shirt can be as short as you want it to be. If you wear high waisted leggings, no skin will be shown. If you wear low waisted leggings/pants, your stomach will show, but it is not excessive. It is just like a regular crop top, and it DEFINITELY goes past your bra (I saw a reviewer say that the top wouldn’t go past her bra). Unless you are exceptionally tall this shouldn’t be an issue. Also, if you lift your arms up to the ceiling, this shirt will rise up, but that is to be expected. This is a crop top. This is a GREAT top to wear to the gym and holds sweat very well. I’m overall very pleased with it, and this product has exceeded my expectations.Note: If you are inbetween sizes, stick with your normal size. If you want a tighter fit, size down. If you want a larger fit, size up.","Reviewed in the United States on 8 March 2022","4.0 out of 5 stars","Verified Purchase"
"143","CRZ YOGA Women's Pima Cotton Workout Crop Top Short Sleeve Running T-Shirt Casual Athletic Tee ","Very comfortable and not too short!","Athena O'Neil","I have troubles with crop tops due to my boobs lol but these are amazing! I have about 3 different colors. They aren’t too short and they don’t show anything when I raise my arms.","Reviewed in the United States on 30 October 2023","5.0 out of 5 stars","Verified Purchase"
"144","CRZ YOGA Women's Pima Cotton Workout Crop Top Short Sleeve Running T-Shirt Casual Athletic Tee ","Cute fit, though fabric was a little flimsy/clingy","Alange","I like that it is made of breathable rayon, and the cut was super-cute, and the length wasn't the most revealing that I've tried on my long torso, BUT the fabric was clingy and thin and I was worried that it might be see-through, even though I got it in black.","Reviewed in the United States on 21 June 2023","5.0 out of 5 stars","Verified Purchase"
"145","CRZ YOGA Women's Pima Cotton Workout Crop Top Short Sleeve Running T-Shirt Casual Athletic Tee ","Not bad, but definitely shorter than expected","M. Alexander","I overall like this top though I am unable to wear it without a tank underneath due to it being rather short on my torso (it just covers my chest).  It's pretty comfy however and I'm happy with it.","Reviewed in the United States on 27 June 2023","5.0 out of 5 stars","Verified Purchase"
"146","CRZ YOGA Women's Pima Cotton Workout Crop Top Short Sleeve Running T-Shirt Casual Athletic Tee ","New favorite workout tee","BookDevouress","Love my new shirt! The sonic pink is so pretty and I love the fit and cut of the tee. Just like Lulu but way better price! I’m 125 lbs, 5’3”, purchased the medium. Could probably size down to a small but I like it extra loose.","Reviewed in the United States on 1 September 2023","4.0 out of 5 stars","Verified Purchase"
"147","CRZ YOGA Women's Pima Cotton Workout Crop Top Short Sleeve Running T-Shirt Casual Athletic Tee ","Best crop","Casey Karlen","I love this top! It’s light and airy - perfect for the Florida heat even in the summer. I sized up for a looser fit, and the quality of the fabric is excellent! I will be purchasing this t in many colors to last me throughout the year","Reviewed in the United States on 24 August 2023","4.0 out of 5 stars","Verified Purchase"
"148","CRZ YOGA Women's Pima Cotton Workout Crop Top Short Sleeve Running T-Shirt Casual Athletic Tee ","My go to gym shirt","Kami","I have this shirt in so many colors, it's so cute and comfy but not too revealing. Great price point and I love the cropped look. Might be a tad too short for taller girls - I'm 5""3 and it's perfect on someone my height!","Reviewed in the United States on 23 August 2023","5.0 out of 5 stars","Verified Purchase"
"149","CRZ YOGA Women's Pima Cotton Workout Crop Top Short Sleeve Running T-Shirt Casual Athletic Tee ","Absolutely love!","Madison","I absolutely love this shirt! It is true to size. I wear mediums and bought a medium. It’s oversized just the right amount. I am considering ordering more in different colors.","Reviewed in the United States on 22 September 2023","5.0 out of 5 stars","Verified Purchase"
"150","CRZ YOGA Women's Pima Cotton Workout Crop Top Short Sleeve Running T-Shirt Casual Athletic Tee ","Doux et léger","Zee","Belle qualité.Les manches sont plutôt longue soit jusqu’au coude. Le chandail est court si vous êtes grande. Le blanc est transparent.Je porte small et j’ai prit xsmall et il est encore grand","Reviewed in Canada on 12 July 2023","5.0 out of 5 stars","Verified Purchase"
"151","ANRABESS Women 2 Piece Outfits Sweatsuit Set 2023 Fall Oversized Half Zip Sweatshirt Wide Leg Sweatpant Lounge Set Tracksuit ","Hermoso","María Elena Alonso","Hermoso y cómodo","Reviewed in Mexico on 23 January 2024","4.2 out of 5 stars","Verified Purchase"
"152","ANRABESS Women 2 Piece Outfits Sweatsuit Set 2023 Fall Oversized Half Zip Sweatshirt Wide Leg Sweatpant Lounge Set Tracksuit ","Cozy affordable comfort!","Shawndell A","I recently purchased this 2-piece set and I couldn't be happier with my purchase!  The set consists a convenient 3/4 zip top and comfortable bottoms featuring an elastic waist and a drawstring.  I must admit the drawstring is more decorative than functional.  The wide leg of the pants is just right—not overly exaggerated but wide enough to provide a stylish and relaxed look.One of the amazing features is the softness of the fabric. I've washed this set three times already, and it still looks and feels as great as it did when I first got it. The color hasn't faded, and there's been no pilling or loss of softness.Being 5'4"" and 142 pounds, I opted for a medium, and it fits me perfectly. The only minor issue I encountered was that the pants were a tad long for my liking. However, a quick fix with hem tape resolved the problem, and now they're just right.  I initially purchased the navy blue set and was so impressed that I bought the apricot color a week later. I'm pleased to report that both colors are true to what's shown online.  The outfit is incredibly soft, and in my opinion, it's an excellent dupe for high-end brands.","Reviewed in the United States on 9 January 2024","5.0 out of 5 stars","Verified Purchase"
"153","ANRABESS Women 2 Piece Outfits Sweatsuit Set 2023 Fall Oversized Half Zip Sweatshirt Wide Leg Sweatpant Lounge Set Tracksuit ","Fabric is so soft","Amazon Customer","Must admit I haven’t worn the sweatsuit yet as the pants are too long but I know come spring I am going to enjoy wearing it.","Reviewed in Canada on 25 January 2024","5.0 out of 5 stars","Verified Purchase"
"154","ANRABESS Women 2 Piece Outfits Sweatsuit Set 2023 Fall Oversized Half Zip Sweatshirt Wide Leg Sweatpant Lounge Set Tracksuit ","SPANX DUP","Gallardo","The ANRABESS Women 2 Piece Outfits Sweatsuit Set seems like a trendy and comfortable choice for fall. The oversized half-zip sweatshirt and wide-leg sweatpants offer a relaxed and cozy fit, perfect for lounging or casual outings. The tracksuit design adds a sporty touch, making it versatile for various occasions. The material and construction quality would be essential factors to consider for long-term durability and comfort. Overall, it is a stylish and practical option for staying cozy.  I will definitely be ordering more.","Reviewed in the United States on 15 February 2024","5.0 out of 5 stars","Verified Purchase"
"155","ANRABESS Women 2 Piece Outfits Sweatsuit Set 2023 Fall Oversized Half Zip Sweatshirt Wide Leg Sweatpant Lounge Set Tracksuit ","Not as expected","Rosemary Brown","This item was described as “buttery soft” and similar to a Spanx dupe! It is nothing as expected. It is cheaply made (IMO) and not a cozy material at all. I expected a material similar to Lulu or Aritzia butter soft (because that’s what the advertised ads were saying) but it feels very rough and cheap. Returned.Also for tall girls not a good fit. I’m 5’7” and it was above my ankles.*UPDATE*Third party was refusing to pay for full refund offered me $18 CA for my troubles and to gift my item to someone else. No thanks! Claimed shipping was way too expensive on their end. Be warned. I’ve read several reviews stating same concerns about their quality of clothing and had to go to Customer service to get full refund (which I eventually did). Definitely will never purchase from this seller again.","Reviewed in Canada on 31 October 2023","5.0 out of 5 stars","Verified Purchase"
"156","ANRABESS Women 2 Piece Outfits Sweatsuit Set 2023 Fall Oversized Half Zip Sweatshirt Wide Leg Sweatpant Lounge Set Tracksuit ","Increíble","ana paulina martinez zamudio","La tela está súper suave, el fit es perfecto. Acabo de pedir en otro color, pedí talla M y es true to size.","Reviewed in Mexico on 14 January 2024","1.0 out of 5 stars","Verified Purchase"
"157","ANRABESS Women 2 Piece Outfits Sweatsuit Set 2023 Fall Oversized Half Zip Sweatshirt Wide Leg Sweatpant Lounge Set Tracksuit ","Bonito","TCA","Bonito, cómodo, buen material y bien hecho","Reviewed in Mexico on 2 January 2024","5.0 out of 5 stars","Verified Purchase"
"158","ANRABESS Women 2 Piece Outfits Sweatsuit Set 2023 Fall Oversized Half Zip Sweatshirt Wide Leg Sweatpant Lounge Set Tracksuit ","Nice fabric & style, runs large","Kindle Customer","I really really wanted to love this set, but I didn't!  Still gave it 4 stars because it's very nice quality, the fabric feels nice and it really looks very close to the Sp*nx Air Essentials set that costs 5x as much (only differences I can see are that the top does not have the pull tie on the zipper and the pants don't have the horizontal seam across the top of the hips below the waistband; have never felt the Sp*nx set in person, so can't speak to whether the fabric is comparable).  The problem for me is that the top runs really large: I'm 5'5"" 140 lbs (slightly pear-shaped) and I am absolutely swimming in the size Small top (pants fit fine): sleeves are too long and there's just so.much.fabric in general.  I was going for that cute-influencer-travel-outfit look, but this just looked sloppy on me.  So just a warning that the top runs quite large, which might be a plus for someone else!","Reviewed in the United States on 19 November 2023","5.0 out of 5 stars","Verified Purchase"
"159","ANRABESS Women 2 Piece Outfits Sweatsuit Set 2023 Fall Oversized Half Zip Sweatshirt Wide Leg Sweatpant Lounge Set Tracksuit ","Comfortable and Stylish","Linda L.","I bought this outfit for long travel days and it did not disappoint. Love the 1/4 zip either unzipped or done up. Like the slits on the sleeve cuffs. Fabric is heavy in weight and cool (not fleece lined) and the pants’ tie is decorative as mentioned in previous reviews. I prefer a more relaxed fit so sized up.","Reviewed in Canada on 5 February 2024","4.0 out of 5 stars","Verified Purchase"
"160","ANRABESS Women 2 Piece Outfits Sweatsuit Set 2023 Fall Oversized Half Zip Sweatshirt Wide Leg Sweatpant Lounge Set Tracksuit ","Tastefull Casual Look!","Palmerosa","Ordered size SMALL in NAVY.  I'm 5'3""ish and 127 lbs; Bigger on top with bird legs and a flat butt.  This set fit me almost perfectly.  The sleeves are a tiny bit long on me (no surprise) but otherwise just a very nice look.  Its oversized but not sloppy.  The pants are a perfect length (surprising for NOT being petite sized).Fabric is soft, silky, has a little sheen to it and a fraction of stretch.  All in all, it gives a very polished look and great to travel or run about.  NO ONE will think you are wearing pajamas in the airport!","Reviewed in the United States on 17 January 2024","5.0 out of 5 stars","Verified Purchase"
"161","ANRABESS Women 2 Piece Outfits Sweatsuit Set 2023 Fall Oversized Half Zip Sweatshirt Wide Leg Sweatpant Lounge Set Tracksuit ","Excelente calidad","Alejandra","Me gusto el diseño, la tela , todo .","Reviewed in Mexico on 22 December 2023","4.2 out of 5 stars","Verified Purchase"
"162","ANRABESS Women 2 Piece Outfits Sweatsuit Set 2023 Fall Oversized Half Zip Sweatshirt Wide Leg Sweatpant Lounge Set Tracksuit ","Leg length","Dora","Fits wellLeg length a little too short - runners ok, no heelsGood material, washes wellMaterial is not like sweatshirt material, material is smooth polyester.I am 5’6” - 135 lbs","Reviewed in Canada on 9 December 2023","5.0 out of 5 stars","Verified Purchase"
"163","ANRABESS Women 2 Piece Outfits Sweatsuit Set 2023 Fall Oversized Half Zip Sweatshirt Wide Leg Sweatpant Lounge Set Tracksuit ","Decent Dupe for Spanx Air Essentials","Shelley S","I own several items in the Spanx Air Essentials Items. This was going viral as being a great dupe and I kept seeing ads. for the price I figured I'd try it since I love my AE.In terms of look a near perfect duplication. Fabric feel is about same weight, it is very smooth but doesn't feel quite as luxurious to me.  Sizing/fit is interesting. The top feels gigantic for most part and the sleeves outrageously long. well past my finger tips. but the waist band feels tight and with less stretch. The matching pants are snug. the AE are ordered as separates and I probably would have sized up in the pants. they fit, but the look isn't super flattering due to the snugness particularly in the color I got.Speaking of, that was one of the things I loved was the color choices. the pink I got is definitely lovely. I might personally stick with the AE, which I have affordability for. But for those looking to save a buck this is a decent alternative.","Reviewed in the United States on 22 February 2024","4.0 out of 5 stars","Verified Purchase"
"164","ANRABESS Women 2 Piece Outfits Sweatsuit Set 2023 Fall Oversized Half Zip Sweatshirt Wide Leg Sweatpant Lounge Set Tracksuit ","Runs large but so soft and comfy!","Amazon Customer","I have recently lost some weight but don't feel comfortable going down a size yet. I ordered a medium (usual size is a large) and it is a little baggy but I couldn't imagine going to a small. It is great for a cozy look. The fabric feels so smooth and soft. I love it and will be buying another. I haven't worn it or washed it so if that goes wrong I will update. But it really is a great dupe.","Reviewed in the United States on 8 February 2024","3.0 out of 5 stars","Verified Purchase"
"165","ANRABESS Women 2 Piece Outfits Sweatsuit Set 2023 Fall Oversized Half Zip Sweatshirt Wide Leg Sweatpant Lounge Set Tracksuit ","For cold Canadian winters.","DaryLena","This 2 piece outfit is absolutely amazing!  Well made, nice and thickish, a little heavy, but will be fantastic for our Canadian winters. I bought two outfits (actually 3, 1 by mistake)  1 grey 2 navy to mix and match. And then my mum was like can you order me 2, too! Well worth the price. Will definitely buy from this company again!","Reviewed in Canada on 14 October 2023","5.0 out of 5 stars","Verified Purchase"
"166","ANRABESS Women 2 Piece Outfits Sweatsuit Set 2023 Fall Oversized Half Zip Sweatshirt Wide Leg Sweatpant Lounge Set Tracksuit ","Comfy","Savabet","Extremely comfortable and good quality. Used for long flight and really loved the tall collar to keep warm on the plan. Highly recommend. I got light gray and it’s really cute and flattering.","Reviewed in the United States on 20 February 2024","5.0 out of 5 stars","Verified Purchase"
"167","ANRABESS Women 2 Piece Outfits Sweatsuit Set 2023 Fall Oversized Half Zip Sweatshirt Wide Leg Sweatpant Lounge Set Tracksuit ","Cheap, thin and shapeless polyester fabric","Amazon Customer","The style and fit of the set is nice but the fabric is so cheap and thin and has that “sparkly” look of cheap polyester. I would not wear this in public and it isn’t breathable or comfortable even to lounge in at home. The package also took a while to arrive making this all around a disappointment.","Reviewed in Canada on 1 November 2023","5.0 out of 5 stars","Verified Purchase"
"168","ANRABESS Women 2 Piece Outfits Sweatsuit Set 2023 Fall Oversized Half Zip Sweatshirt Wide Leg Sweatpant Lounge Set Tracksuit ","Buy this!","Amazon Customer","I don't dislike anything about this! True to size - I am 5 3"" and 156lbs and I bought a Medium. It fits perfectly! The pant length is perfect (which never happens  cuz I'm short), material is so nice, and it washes really well. Lay it flat to dry (I did not attempt the dryer as I didn't want it to shrink). Highly recommend!","Reviewed in Canada on 26 October 2023","2.0 out of 5 stars","Verified Purchase"
