"","title","author","subject","abstract","date"
"37","learning a generalized physical face model from data","lingchen yang, gaspard zoss, prashanth chandran, markus gross, barbara solenthaler, eftychios sifakis, derek bradley","computer vision and pattern recognition","physically-based simulation is a powerful approach for 3d facial animation as the resulting deformations are governed by physical constraints, allowing to easily resolve self-collisions, respond to external forces and perform realistic anatomy edits. today's methods are data-driven, where the actuations for finite elements are inferred from captured skin geometry. unfortunately, these approaches have not been widely adopted due to the complexity of initializing the material space and learning the deformation model for each character separately, which often requires a skilled artist followed by lengthy network training. in this work, we aim to make physics-based facial animation more accessible by proposing a generalized physical face model that we learn from a large 3d face dataset in a simulation-free manner. once trained, our model can be quickly fit to any unseen identity and produce a ready-to-animate physical face model automatically. fitting is as easy as providing a single 3d face scan, or even a single face image. after fitting, we offer intuitive animation controls, as well as the ability to retarget animations across characters. all the while, the resulting animations allow for physical effects like collision avoidance, gravity, paralysis, bone reshaping and more.",2024-02-29
"38","3d gaussian model for animation and texturing","xiangzhi eric wang, zackary p. t. sin","graphics","3d gaussian splatting has made a marked impact on neural rendering by achieving impressive fidelity and performance. despite this achievement, however, it is not readily applicable to developing interactive applications. real-time applications like xr apps and games require functions such as animation, uv-mapping, and model editing simultaneously manipulated through the usage of a 3d model. we propose a modeling that is analogous to typical 3d models, which we call 3d gaussian model (3dgm); it provides a manipulatable proxy for novel animation and texture transfer. by binding the 3d gaussians in texture space and re-projecting them back to world space through implicit shell mapping, we show how our 3d modeling can serve as a valid rendering methodology for interactive applications. it is further noted that recently, 3d mesh reconstruction works have been able to produce high-quality mesh for rendering. our work, on the other hand, only requires an approximated geometry for rendering an object in high fidelity. applicationwise, we will show that our proxy-based 3dgm is capable of driving novel animation without animated training data and texture transferring via uv mapping of the 3d gaussians. we believe the result indicates the potential of our work for enabling interactive applications for 3d gaussian splatting.",2024-02-29
"39","properties of hagen-poiseuille flows in channel networks","a. f. valente, r. almeida, r. dilão","cell behavior","we derive the main properties of adaptive hagen-poiseuille flows in elastic microchannel networks akin to biological veins in organisms. we show that adaptive hagen-poiseuille flows successfully simulate key features of \textit{physarum polycephalum} networks, replicating physiological out-of-equilibrium phenomena like peristalsis and shuttle streaming, associated with the mechanism of nutrient transport in \textit{physarum}. a new topological steady state has been identified for asynchronous adaptation, supporting out-of-equilibrium laminar fluxes. adaptive hagen-poiseuille flows show saturation effects on the fluxes in contractile veins, as observed in animal and artificial contractile veins.",2024-02-29
"40","why do animals need shaping? a theory of task composition and curriculum learning","jin hwa lee, stefano sarao mannelli, andrew saxe","neurons and cognition","diverse studies in systems neuroscience begin with extended periods of training known as 'shaping' procedures. these involve progressively studying component parts of more complex tasks, and can make the difference between learning a task quickly, slowly or not at all. despite the importance of shaping to the acquisition of complex tasks, there is as yet no theory that can help guide the design of shaping procedures, or more fundamentally, provide insight into its key role in learning. modern deep reinforcement learning systems might implicitly learn compositional primitives within their multilayer policy networks. inspired by these models, we propose and analyse a model of deep policy gradient learning of simple compositional reinforcement learning tasks. using the tools of statistical physics, we solve for exact learning dynamics and characterise different learning strategies including primitives pre-training, in which task primitives are studied individually before learning compositional tasks. we find a complex interplay between task complexity and the efficacy of shaping strategies. overall, our theory provides an analytical understanding of the benefits of shaping in a class of compositional tasks and a quantitative account of how training protocols can disclose useful task primitives, ultimately yielding faster and more robust learning.",2024-02-28
"41","fsl model can score higher as it is","yunwei bai, ying kiat tan, tsuhan chen","computer vision and pattern recognition","in daily life, we tend to present the front of our faces by staring squarely at a facial recognition machine, instead of facing it sideways, in order to increase the chance of being correctly recognised. few-shot-learning (fsl) classification is challenging in itself because a model has to identify images that belong to classes previously unseen during training. therefore, a warped and non-typical query or support image during testing can make it even more challenging for a model to predict correctly. in our work, to increase the chance of correct prediction during testing, we aim to rectify the test input of a trained fsl model by generating new samples of the tested classes through image-to-image translation. an fsl model is usually trained on classes with sufficient samples, and then tested on classes with few-shot samples. our proposed method first captures the style or shape of the test image, and then identifies a suitable trained class sample. it then transfers the style or shape of the test image to the train-class images for generation of more test-class samples, before performing classification based on a set of generated samples instead of just one sample. our method has potential in empowering a trained fsl model to score higher during the testing phase without any extra training nor dataset. according to our experiments, by augmenting the support set with just 1 additional generated sample, we can achieve around 2% improvement for trained fsl models on datasets consisting of either animal faces or traffic signs. by augmenting both the support set and the queries, we can achieve even more performance improvement. our github repository is publicly available.",2024-02-28
"42","pach's animal problem within the bounding box","martin tancer","combinatorics","a collection of unit cubes with integer coordinates in $\mathbb r^3$ is an animal if its union is homeomorphic to the 3-ball. pach's animal problem asks whether any animal can be transformed to a single cube by adding or removing cubes one by one in such a way that any intermediate step is an animal as well. here we provide an example of an animal that cannot be transformed to a single cube this way within its bounding box.",2024-02-28
"43","from summary to action: enhancing large language models for complex tasks with open world apis","yulong liu, yunlong yuan, chunwei wang, jianhua han, yongqiang ma, li zhang, nanning zheng, hang xu","artificial intelligence","the distinction between humans and animals lies in the unique ability of humans to use and create tools. tools empower humans to overcome physiological limitations, fostering the creation of magnificent civilizations. similarly, enabling foundational models like large language models (llms) with the capacity to learn external tool usage may serve as a pivotal step toward realizing artificial general intelligence. previous studies in this field have predominantly pursued two distinct approaches to augment the tool invocation capabilities of llms. the first approach emphasizes the construction of relevant datasets for model fine-tuning. the second approach, in contrast, aims to fully exploit the inherent reasoning abilities of llms through in-context learning strategies. in this work, we introduce a novel tool invocation pipeline designed to control massive real-world apis. this pipeline mirrors the human task-solving process, addressing complicated real-life user queries. at each step, we guide llms to summarize the achieved results and determine the next course of action. we term this pipeline `from summary to action', sum2act for short. empirical evaluations of our sum2act pipeline on the toolbench benchmark show significant performance improvements, outperforming established methods like react and dfsdt. this highlights sum2act's effectiveness in enhancing llms for complex real-world tasks.",2024-02-28
"44","prosocial and financial incentives for biodiversity conservation: a field experiment using a smartphone app","shusaku sasaki, takahiro kubo, shodai kitano","general economics","ascertaining the number, type, and location of plant, insect, and animal species is essential for biodiversity conservation. however, comprehensively monitoring the situation only through public fixed-point surveys is challenging, and therefore information voluntarily provided by citizens assists in ascertaining the species distribution. to effectively encourage the citizens' data sharing behavior, this study proposed a prosocial incentive scheme in which, if they provide species information, donations are made to activities for saving endangered species. we conducted a field experiment with users (n=830) of a widely-used japanese smartphone app to which they post species photos and measured the incentive's effect on their posting behavior. in addition, we measured the effect of a financial incentive scheme that provides monetary rewards for posting species photos and compared the two incentives' effects. the analyses revealed that while the prosocial incentive did not increase the number of posts on average, it did change the contents of posts, increasing the proportion of posts on rare species. on the contrary, the financial incentive statistically significantly increased the number of posts, in particular, on less rare and invasive species. our findings suggest that the prosocial and financial incentives could stimulate different motivations and encourage different posting behaviors.",2024-02-28
"45","emo: emote portrait alive -- generating expressive portrait videos with audio2video diffusion model under weak conditions","linrui tian, qi wang, bang zhang, liefeng bo","computer vision and pattern recognition","in this work, we tackle the challenge of enhancing the realism and expressiveness in talking head video generation by focusing on the dynamic and nuanced relationship between audio cues and facial movements. we identify the limitations of traditional techniques that often fail to capture the full spectrum of human expressions and the uniqueness of individual facial styles. to address these issues, we propose emo, a novel framework that utilizes a direct audio-to-video synthesis approach, bypassing the need for intermediate 3d models or facial landmarks. our method ensures seamless frame transitions and consistent identity preservation throughout the video, resulting in highly expressive and lifelike animations. experimental results demonsrate that emo is able to produce not only convincing speaking videos but also singing videos in various styles, significantly outperforming existing state-of-the-art methodologies in terms of expressiveness and realism.",2024-02-27
"46","charactergen: efficient 3d character generation from single images with multi-view pose canonicalization","hao-yang peng, jia-peng zhang, meng-hao guo, yan-pei cao, shi-min hu","computer vision and pattern recognition","in the field of digital content creation, generating high-quality 3d characters from single images is challenging, especially given the complexities of various body poses and the issues of self-occlusion and pose ambiguity. in this paper, we present charactergen, a framework developed to efficiently generate 3d characters. charactergen introduces a streamlined generation pipeline along with an image-conditioned multi-view diffusion model. this model effectively calibrates input poses to a canonical form while retaining key attributes of the input image, thereby addressing the challenges posed by diverse poses. a transformer-based, generalizable sparse-view reconstruction model is the other core component of our approach, facilitating the creation of detailed 3d models from multi-view images. we also adopt a texture-back-projection strategy to produce high-quality texture maps. additionally, we have curated a dataset of anime characters, rendered in multiple poses and views, to train and evaluate our model. our approach has been thoroughly evaluated through quantitative and qualitative experiments, showing its proficiency in generating 3d characters with high-quality shapes and textures, ready for downstream applications such as rigging and animation.",2024-02-27
"47","neural population geometry and optimal coding of tasks with shared latent structure","albert j. wakhloo, will slatton, sueyeon chung","neurons and cognition","humans and animals can recognize latent structures in their environment and apply this information to efficiently navigate the world. several recent works argue that the brain supports these abilities by forming neural representations that encode such latent structures in flexible, generalizable ways. however, it remains unclear what aspects of neural population activity are contributing to these computational capabilities. here, we develop an analytical theory linking the mesoscopic statistics of a neural population's activity to generalization performance on a multi-task learning problem. to do this, we rely on a generative model in which different tasks depend on a common, unobserved latent structure and predictions are formed from a linear readout of a neural population's activity. we show that three geometric measures of the population activity determine generalization performance in these settings. using this theory, we find that experimentally observed factorized (or disentangled) representations naturally emerge as an optimal solution to the multi-task learning problem. we go on to show that when data is scarce, optimal codes compress less informative latent variables, and when data is abundant, optimal codes expand this information in the state space. we validate predictions from our theory using biological and artificial neural network data. our results therefore tie neural population geometry to the multi-task learning problem and make normative predictions of the structure of population activity in these settings.",2024-02-26
"48","recent progress in the physical principles of dynamic ground self-righting","chen li","biological physics","animals and robots must be able to self-right on the ground after flipping over to survive or operate. biology research has described various strategies and measured motor control patterns in many species. robotics research has designed many mechanisms to enable ground self-righting. however, the physical principles governing ground self-righting transitions are relatively less known, except limited understanding in turtles with rigid shell in two dimensions. here i review recent progress which i have led in advancing this understanding using cockroaches as model organisms, by integrating biology experiments, robotic modeling, and physics modeling.",2024-02-26
"49","program-based strategy induction for reinforcement learning","carlos g. correa, thomas l. griffiths, nathaniel d. daw","machine learning","typical models of learning assume incremental estimation of continuously-varying decision variables like expected rewards. however, this class of models fails to capture more idiosyncratic, discrete heuristics and strategies that people and animals appear to exhibit. despite recent advances in strategy discovery using tools like recurrent networks that generalize the classic models, the resulting strategies are often onerous to interpret, making connections to cognition difficult to establish. we use bayesian program induction to discover strategies implemented by programs, letting the simplicity of strategies trade off against their effectiveness. focusing on bandit tasks, we find strategies that are difficult or unexpected with classical incremental learning, like asymmetric learning from rewarded and unrewarded trials, adaptive horizon-dependent random exploration, and discrete state switching.",2024-02-26
"50","domain embeddings for generating complex descriptions of concepts in italian language","alessandro maisto","computation and language","in this work, we propose a distributional semantic resource enriched with linguistic and lexical information extracted from electronic dictionaries, designed to address the challenge of bridging the gap between the continuous semantic values represented by distributional vectors and the discrete descriptions offered by general semantics theory. recently, many researchers have concentrated on the nexus between embeddings and a comprehensive theory of semantics and meaning. this often involves decoding the representation of word meanings in distributional models into a set of discrete, manually constructed properties such as semantic primitives or features, using neural decoding techniques. our approach introduces an alternative strategy grounded in linguistic data. we have developed a collection of domain-specific co-occurrence matrices, derived from two sources: a classification of italian nouns categorized into 4 semantic traits and 20 concrete noun sub-categories, and a list of italian verbs classified according to their semantic classes. in these matrices, the co-occurrence values for each word are calculated exclusively with a defined set of words pertinent to a particular lexical domain. the resource comprises 21 domain-specific matrices, one comprehensive matrix, and a graphical user interface. our model facilitates the generation of reasoned semantic descriptions of concepts by selecting matrices directly associated with concrete conceptual knowledge, such as a matrix based on location nouns and the concept of animal habitats. we assessed the utility of the resource through two experiments, achieving promising outcomes in both: the automatic classification of animal nouns and the extraction of animal features.",2024-02-26
"51","cinematographic camera diffusion model","hongda jiang, xi wang, marc christie, libin liu, baoquan chen","graphics","designing effective camera trajectories in virtual 3d environments is a challenging task even for experienced animators. despite an elaborate film grammar, forged through years of experience, that enables the specification of camera motions through cinematographic properties (framing, shots sizes, angles, motions), there are endless possibilities in deciding how to place and move cameras with characters. dealing with these possibilities is part of the complexity of the problem. while numerous techniques have been proposed in the literature (optimization-based solving, encoding of empirical rules, learning from real examples,...), the results either lack variety or ease of control.
in this paper, we propose a cinematographic camera diffusion model using a transformer-based architecture to handle temporality and exploit the stochasticity of diffusion models to generate diverse and qualitative trajectories conditioned by high-level textual descriptions. we extend the work by integrating keyframing constraints and the ability to blend naturally between motions using latent interpolation, in a way to augment the degree of control of the designers. we demonstrate the strengths of this text-to-camera motion approach through qualitative and quantitative experiments and gather feedback from professional artists. the code and data are available at \url{this https url}.",2024-02-25
"52","energy-conserving intermittent-contact motion in complex models","sergey pankov","robotics","some mechanical systems, that are modeled to have inelastic collisions, nonetheless possess energy-conserving intermittent-contact solutions, known as collisionless solutions. such a solution, representing a persistent hopping or walking across a level ground, may be important for understanding animal locomotion or for designing efficient walking machines. so far, collisionless motion has been analytically studied in simple two degrees of freedom (dof) systems, or in a system that decouples into 2-dof subsystems in the harmonic approximation. in this paper we extend the consideration to a n-dof system, recovering the known solutions as a special n = 2 case of the general formulation. we show that in the harmonic approximation the collisionless solution is determined by the spectrum of the system. we formulate a solution existence condition, which requires the presence of at least one oscillating normal mode in the most constrained phase of the motion. an application of the developed general framework is illustrated by finding a collisionless solution for a rocking motion of a biped with an armed standing torso.",2024-02-25
"53","charactermixer: rig-aware interpolation of 3d characters","xiao zhan, rao fu, daniel ritchie","graphics","we present charactermixer, a system for blending two rigged 3d characters with different mesh and skeleton topologies while maintaining a rig throughout interpolation. charactermixer also enables interpolation during motion for such characters, a novel feature. interpolation is an important shape editing operation, but prior methods have limitations when applied to rigged characters: they either ignore the rig (making interpolated characters no longer posable) or use a fixed rig and mesh topology. to handle different mesh topologies, charactermixer uses a signed distance field (sdf) representation of character shapes, with one sdf per bone. to handle different skeleton topologies, it computes a hierarchical correspondence between source and target character skeletons and interpolates the sdfs of corresponding bones. this correspondence also allows the creation of a single ""unified skeleton"" for posing and animating interpolated characters. we show that charactermixer produces qualitatively better interpolation results than two state-of-the-art methods while preserving a rig throughout interpolation.",2024-02-23
"54","morphological symmetries in robotics","daniel ordoñez-apraez, giulio turrisi, vladimir kostic, mario martin, antonio agudo, francesc moreno-noguer, massimiliano pontil, claudio semini, carlos mastalli","robotics","we present a comprehensive framework for studying and leveraging morphological symmetries in robotic systems. these are intrinsic properties of the robot's morphology, frequently observed in animal biology and robotics, which stem from the replication of kinematic structures and the symmetrical distribution of mass. we illustrate how these symmetries extend to the robot's state space and both proprioceptive and exteroceptive sensor measurements, resulting in the equivariance of the robot's equations of motion and optimal control policies. thus, we recognize morphological symmetries as a relevant and previously unexplored physics-informed geometric prior, with significant implications for both data-driven and analytical methods used in modeling, control, estimation and design in robotics. for data-driven methods, we demonstrate that morphological symmetries can enhance the sample efficiency and generalization of machine learning models through data augmentation, or by applying equivariant/invariant constraints on the model's architecture. in the context of analytical methods, we employ abstract harmonic analysis to decompose the robot's dynamics into a superposition of lower-dimensional, independent dynamics. we substantiate our claims with both synthetic and real-world experiments conducted on bipedal and quadrupedal robots. lastly, we introduce the repository morphosymm to facilitate the practical use of the theory and applications outlined in this work.",2024-02-23
"55","retinotopic mapping enhances the robustness of convolutional neural networks","jean-nicolas jérémie, emmanuel daucé, laurent u perrinet","computer vision and pattern recognition","foveated vision, a trait shared by many animals, including humans, has not been fully utilized in machine learning applications, despite its significant contributions to biological visual function. this study investigates whether retinotopic mapping, a critical component of foveated vision, can enhance image categorization and localization performance when integrated into deep convolutional neural networks (cnns). retinotopic mapping was integrated into the inputs of standard off-the-shelf convolutional neural networks (cnns), which were then retrained on the imagenet task. as expected, the logarithmic-polar mapping improved the network's ability to handle arbitrary image zooms and rotations, particularly for isolated objects. surprisingly, the retinotopically mapped network achieved comparable performance in classification. furthermore, the network demonstrated improved classification localization when the foveated center of the transform was shifted. this replicates a crucial ability of the human visual system that is absent in typical convolutional neural networks (cnns). these findings suggest that retinotopic mapping may be fundamental to significant preattentive visual processes.",2024-02-23
"56","charting ethical tensions in multispecies technology research through beneficiary-epistemology space","steve benford, clara mancini, alan chamberlain, eike schneiders, simon castle-green, joel fischer, ayse kucukyilmaz, guido salimbeni, victor ngo, pepita barnard, matt adams, nick tandavanitj, ju row farr","human-computer interaction","while ethical challenges are widely discussed in hci, far less is reported about the ethical processes that researchers routinely navigate. we reflect on a multispecies project that negotiated an especially complex ethical approval process. cat royale was an artist-led exploration of creating an artwork to engage audiences in exploring trust in autonomous systems. the artwork took the form of a robot that played with three cats. gaining ethical approval required an extensive dialogue with three institutional review boards (irbs) covering computer science, veterinary science and animal welfare, raising tensions around the welfare of the cats, perceived benefits and appropriate methods, and reputational risk to the university. to reveal these tensions we introduce beneficiary-epistemology space, that makes explicit who benefits from research (humans or animals) and underlying epistemologies. positioning projects and irbs in this space can help clarify tensions and highlight opportunities to recruit additional expertise.",2024-02-23
"57","designing multispecies worlds for robots, cats, and humans","eike schneiders, steve benford, alan chamberlain, clara mancini, simon castle-green, victor ngo, ju row farr, matt adams, nick tandavanitj, joel fischer","human-computer interaction","we reflect on the design of a multispecies world centred around a bespoke enclosure in which three cats and a robot arm coexist for six hours a day during a twelve-day installation as part of an artist-led project. in this paper, we present the project's design process, encompassing various interconnected components, including the cats, the robot and its autonomous systems, the custom end-effectors and robot attachments, the diverse roles of the humans-in-the-loop, and the custom-designed enclosure. subsequently, we provide a detailed account of key moments during the deployment and discuss the design implications for future multispecies systems. specifically, we argue that designing the technology and its interactions is not sufficient, but that it is equally important to consider the design of the `world' in which the technology operates. finally, we highlight the necessity of human involvement in areas such as breakdown recovery, animal welfare, and their role as audience.",2024-02-23
"58","homeostatic motion planning with innate physics knowledge","giulia lafratta, bernd porr, christopher chandler, alice miller","robotics","living organisms interact with their surroundings in a closed-loop fashion, where sensory inputs dictate the initiation and termination of behaviours. even simple animals are able to develop and execute complex plans, which has not yet been replicated in robotics using pure closed-loop input control. we propose a solution to this problem by defining a set of discrete and temporary closed-loop controllers, called ""tasks"", each representing a closed-loop behaviour. we further introduce a supervisory module which has an innate understanding of physics and causality, through which it can simulate the execution of task sequences over time and store the results in a model of the environment. on the basis of this model, plans can be made by chaining temporary closed-loop controllers. the proposed framework was implemented for a real robot and tested in two scenarios as proof of concept.",2024-02-23
"59","all thresholds barred: direct estimation of call density in bioacoustic data","amanda k. navine, tom denton, matthew j. weldy, patrick j. hart","quantitative methods","passive acoustic monitoring (pam) studies generate thousands of hours of audio, which may be used to monitor specific animal populations, conduct broad biodiversity surveys, detect threats such as poachers, and more. machine learning classifiers for species identification are increasingly being used to process the vast amount of audio generated by bioacoustic surveys, expediting analysis and increasing the utility of pam as a management tool. in common practice, a threshold is applied to classifier output scores, and scores above the threshold are aggregated into a detection count. the choice of threshold produces biased counts of vocalizations, which are subject to false positive/negative rates that may vary across subsets of the dataset. in this work, we advocate for directly estimating call density: the proportion of detection windows containing the target vocalization, regardless of classifier score. our approach targets a desirable ecological estimator and provides a more rigorous grounding for identifying the core problems caused by distribution shifts -- when the defining characteristics of the data distribution change -- and designing strategies to mitigate them. we propose a validation scheme for estimating call density in a body of data and obtain, through bayesian reasoning, probability distributions of confidence scores for both the positive and negative classes. we use these distributions to predict site-level densities, which may be subject to distribution shifts. we test our proposed methods on a real-world study of hawaiian birds and provide simulation results leveraging existing fully annotated datasets, demonstrating robustness to variations in call density and classifier model quality.",2024-02-23
"60","elastic interactions compete with persistent cell motility to drive durotaxis","subhaya bose, haiqin wang, xinpeng xu, arvind gopinath, kinjal dasbiswas","soft condensed matter","many animal cells crawling on elastic substrates exhibit durotaxis and have implications in several biological processes including tissue development, and tumor progression. here, we introduce a phenomenological model for durotactic migration incorporating both elastic deformation-mediated cell-substrate interactions and the stochasticity of cell migration. our model is motivated by the key observation in one of the first demonstrations of durotaxis: a single contractile cell at an interface between a softer and a stiffer region of an elastic substrate reorients and migrates towards the stiffer region. we model migrating cells as self-propelling, persistently motile agents that exert contractile, dipolar traction forces on the underlying elastic substrate. the resulting substrate deformations induce elastic interactions with mechanical boundaries, captured by an elastic potential that depends on cell position and orientation relative to the boundary. the potential is attractive or repulsive depending on whether the mechanical boundary condition is clamped or free, which represents the cell being on the softer or stiffer side, respectively, of a confining boundary. the forces and torques from the interactions drive cells to orient perpendicular (parallel) to the boundary and accumulate (deplete) at the clamped (free) boundary, extent of which is determined by elastic potential (a) and motility (pe). while the elastic interaction drives durotaxis, cell migratory movements such as random reorientation and self-propulsion enable the cell from the attractive potential thereby reducing durotaxis. we define metrics quantifying boundary accumulation and durotaxis and present a phase diagram that identifies three possible regimes: durotaxis, adurotaxis without accumulation and adurotaxis with motility-induced accumulation at a confining boundary.",2024-02-23
"61","object permanence in newborn chicks is robust against opposing evidence","justin n. wood, tomer d. ullman, brian w. wood, elizabeth s. spelke, samantha m. w. wood","neurons and cognition","newborn animals have advanced perceptual skills at birth, but the nature of this initial knowledge is unknown. is initial knowledge flexible, continuously adapting to the statistics of experience? or can initial knowledge be rigid and robust to change, even in the face of opposing evidence? we address this question through controlled-rearing experiments on newborn chicks. first, we reared chicks in an impoverished virtual world, where objects never occluded one another, and found that chicks still succeed on object permanence tasks. second, we reared chicks in a virtual world in which objects teleported from one location to another while out of view: an unnatural event that violates the continuity of object motion. despite seeing thousands of these violations of object permanence, and not a single non-violation, the chicks behaved as if object permanence were true, exhibiting the same behavior as chicks reared with natural object permanence events. we conclude that object permanence develops prenatally and is robust to change from opposing evidence.",2024-02-22
"62","semantic image synthesis with unconditional generator","jungwoo chae, hyunin cho, sooyeon go, kyungmook choi, youngjung uh","computer vision and pattern recognition","semantic image synthesis (sis) aims to generate realistic images that match given semantic masks. despite recent advances allowing high-quality results and precise spatial control, they require a massive semantic segmentation dataset for training the models. instead, we propose to employ a pre-trained unconditional generator and rearrange its feature maps according to proxy masks. the proxy masks are prepared from the feature maps of random samples in the generator by simple clustering. the feature rearranger learns to rearrange original feature maps to match the shape of the proxy masks that are either from the original sample itself or from random samples. then we introduce a semantic mapper that produces the proxy masks from various input conditions including semantic masks. our method is versatile across various applications such as free-form spatial editing of real images, sketch-to-photo, and even scribble-to-photo. experiments validate advantages of our method on a range of datasets: human faces, animal faces, and buildings.",2024-02-22
"63","the architecture of sponge choanocyte chambers maximizes mechanical pumping efficiency","takumi ogawa, shuji koyama, toshihiro omori, kenji kikuchi, helene de maleprade, raymond e. goldstein, takuji ishikawa","soft condensed matter","sponges, the basalmost members of the animal kingdom, exhibit a range of complex architectures in which microfluidic channels connect multitudes of spherical chambers lined with choanocytes, flagellated filter-feeding cells. choanocyte chambers can possess scores or even hundreds of such cells, which drive complex flows entering through porous walls and exiting into the sponge channels. one of the mysteries of the choanocyte chamber is its spherical shape, as it seems inappropriate for inducing directional transport since many choanocyte flagella beat in opposition to such a flow. here we combine direct imaging of choanocyte chambers in living sponges with computational studies of many-flagella models to understand the connection between chamber architecture and directional flow. we find that those flagella that beat against the flow play a key role in raising the pressure inside the choanocyte chamber, with the result that the mechanical pumping efficiency, calculated from the pressure rise and flow rate, reaches a maximum at a small outlet opening angle. comparison between experimental observations and the results of numerical simulations reveal that the chamber diameter, flagellar wave number and the outlet opening angle of the freshwater sponge $e. muelleri$, as well as several other species, are related in a manner that maximizes the mechanical pumping efficiency. these results indicate the subtle balances at play during morphogenesis of choanocyte chambers, and give insights into the physiology and body design of sponges.",2024-02-22
"64","strategies and safety simulations for ultrasonic cervical spinal cord neuromodulation","rui xu, sven bestmann, bradley e. treeby, eleanor martin","medical physics","focused ultrasound spinal cord neuromodulation studies have demonstrated spinal cord neuromodulation in small animals. the safe and efficacious translation of these approaches to human scale requires an understanding of ultrasound propagation and heat deposition within the human spine. to address this, combined acoustic and thermal modelling was used to assess the pressure and heat distributions produced by a 500 khz source focused to the c5/c6 level of the cervical spine via two approaches a) the posterior acoustic window between vertebral posterior arches, or b) the lateral intervertebral foramen from which the c6 spinal nerve exits. pulse trains of 150 0.1 s pulses with a pulse repetition frequency of 0.33 hz and free-field spatial peak pulse-averaged intensity of 10 w/cm^2 were simulated for the ct volumes of four subjects and for $\pm$10 mm translational and $\pm$10° rotational source positioning errors. target pressures ranged between 20% and 70% of free-field spatial peak pressures with the posterior approach, and 20% and 100% with the lateral approach. when the source was optimally positioned with the posterior approach, peak spine heating values were below 1°c, but source mis-positioning resulted in bone heating up to 4°c. heating with the lateral approach did not exceed 2°c within the mispositioning range. there were substantial inter-subject differences in target pressures and peak heating values. target pressure varied three to four-fold between subjects, depending on approach, while peak heating varied approximately two-fold between subjects. this results in a near ten-fold range in the target pressure achieved per degree of peak heating between subjects. this highlights the importance of developing trans-spine ultrasound simulation software for the assurance of subject-specific safety and efficacy of focused ultrasound spinal cord therapies.",2024-02-21
"65","learning dynamic representations of the functional connectome in neurobiological networks","luciano dyballa, samuel lang, alexandra haslund-gourley, eviatar yemini, steven w. zucker","neurons and cognition","the static synaptic connectivity of neuronal circuits stands in direct contrast to the dynamics of their function. as in changing community interactions, different neurons can participate actively in various combinations to effect behaviors at different times. we introduce an unsupervised approach to learn the dynamic affinities between neurons in live, behaving animals, and to reveal which communities form among neurons at different times. the inference occurs in two major steps. first, pairwise non-linear affinities between neuronal traces from brain-wide calcium activity are organized by non-negative tensor factorization (ntf). each factor specifies which groups of neurons are most likely interacting for an inferred interval in time, and for which animals. finally, a generative model that allows for weighted community detection is applied to the functional motifs produced by ntf to reveal a dynamic functional connectome. since time codes the different experimental variables (e.g., application of chemical stimuli), this provides an atlas of neural motifs active during separate stages of an experiment (e.g., stimulus application or spontaneous behaviors). results from our analysis are experimentally validated, confirming that our method is able to robustly predict causal interactions between neurons to generate behavior. code is available at this https url.",2024-02-21
"66","bring your own character: a holistic solution for automatic facial animation generation of customized characters","zechen bai, peng chen, xiaolan peng, lu liu, hui chen, mike zheng shou, feng tian","human-computer interaction","animating virtual characters has always been a fundamental research problem in virtual reality (vr). facial animations play a crucial role as they effectively convey emotions and attitudes of virtual humans. however, creating such facial animations can be challenging, as current methods often involve utilization of expensive motion capture devices or significant investments of time and effort from human animators in tuning animation parameters. in this paper, we propose a holistic solution to automatically animate virtual human faces. in our solution, a deep learning model was first trained to retarget the facial expression from input face images to virtual human faces by estimating the blendshape coefficients. this method offers the flexibility of generating animations with characters of different appearances and blendshape topologies. second, a practical toolkit was developed using unity 3d, making it compatible with the most popular vr applications. the toolkit accepts both image and video as input to animate the target virtual human faces and enables users to manipulate the animation results. furthermore, inspired by the spirit of human-in-the-loop (hitl), we leveraged user feedback to further improve the performance of the model and toolkit, thereby increasing the customization properties to suit user preferences. the whole solution, for which we will make the code public, has the potential to accelerate the generation of facial animations for use in vr applications.",2024-02-21
"67","learning highly dynamic behaviors for quadrupedal robots","chong zhang, jiapeng sheng, tingguang li, he zhang, cheng zhou, qingxu zhu, rui zhao, yizheng zhang, lei han","robotics","learning highly dynamic behaviors for robots has been a longstanding challenge. traditional approaches have demonstrated robust locomotion, but the exhibited behaviors lack diversity and agility. they employ approximate models, which lead to compromises in performance. data-driven approaches have been shown to reproduce agile behaviors of animals, but typically have not been able to learn highly dynamic behaviors. in this paper, we propose a learning-based approach to enable robots to learn highly dynamic behaviors from animal motion data. the learned controller is deployed on a quadrupedal robot and the results show that the controller is able to reproduce highly dynamic behaviors including sprinting, jumping and sharp turning. various behaviors can be activated through human interaction using a stick with markers attached to it. based on the motion pattern of the stick, the robot exhibits walking, running, sitting and jumping, much like the way humans interact with a pet.",2024-02-21
"68","toward fairness via maximum mean discrepancy regularization on logits space","hao-wei chung, ching-hao chiu, yu-jen chen, yiyu shi, tsung-yi ho","computer vision and pattern recognition","fairness has become increasingly pivotal in machine learning for high-risk applications such as machine learning in healthcare and facial recognition. however, we see the deficiency in the previous logits space constraint methods. therefore, we propose a novel framework, logits-mmd, that achieves the fairness condition by imposing constraints on output logits with maximum mean discrepancy. moreover, quantitative analysis and experimental results show that our framework has a better property that outperforms previous methods and achieves state-of-the-art on two facial recognition datasets and one animal dataset. finally, we show experimental results and demonstrate that our debias approach achieves the fairness condition effectively.",2024-02-20
