"","title","author","subject","abstract","meta"
"37","Learning a Generalized Physical Face Model From Data","Lingchen Yang, Gaspard Zoss, Prashanth Chandran, Markus Gross, Barbara Solenthaler, Eftychios Sifakis, Derek Bradley","Computer Vision and Pattern Recognition (cs.CV)","Physically-based simulation is a powerful approach for 3D facial animation as the resulting deformations are governed by physical constraints, allowing to easily resolve self-collisions, respond to external forces and perform realistic anatomy edits. Today's methods are data-driven, where the actuations for finite elements are inferred from captured skin geometry. Unfortunately, these approaches have not been widely adopted due to the complexity of initializing the material space and learning the deformation model for each character separately, which often requires a skilled artist followed by lengthy network training. In this work, we aim to make physics-based facial animation more accessible by proposing a generalized physical face model that we learn from a large 3D face dataset in a simulation-free manner. Once trained, our model can be quickly fit to any unseen identity and produce a ready-to-animate physical face model automatically. Fitting is as easy as providing a single 3D face scan, or even a single face image. After fitting, we offer intuitive animation controls, as well as the ability to retarget animations across characters. All the while, the resulting animations allow for physical effects like collision avoidance, gravity, paralysis, bone reshaping and more.","Thu, 29 Feb 2024 18:59:31 UTC (8,551 KB)"
"38","3D Gaussian Model for Animation and Texturing","Xiangzhi Eric Wang, Zackary P. T. Sin","Graphics (cs.GR)","3D Gaussian Splatting has made a marked impact on neural rendering by achieving impressive fidelity and performance. Despite this achievement, however, it is not readily applicable to developing interactive applications. Real-time applications like XR apps and games require functions such as animation, UV-mapping, and model editing simultaneously manipulated through the usage of a 3D model. We propose a modeling that is analogous to typical 3D models, which we call 3D Gaussian Model (3DGM); it provides a manipulatable proxy for novel animation and texture transfer. By binding the 3D Gaussians in texture space and re-projecting them back to world space through implicit shell mapping, we show how our 3D modeling can serve as a valid rendering methodology for interactive applications. It is further noted that recently, 3D mesh reconstruction works have been able to produce high-quality mesh for rendering. Our work, on the other hand, only requires an approximated geometry for rendering an object in high fidelity. Applicationwise, we will show that our proxy-based 3DGM is capable of driving novel animation without animated training data and texture transferring via UV mapping of the 3D Gaussians. We believe the result indicates the potential of our work for enabling interactive applications for 3D Gaussian Splatting.","Thu, 29 Feb 2024 18:43:43 UTC (24,864 KB)"
"39","Properties of Hagen-Poiseuille flows in channel networks","A. F. Valente, R. Almeida, R. Dilão","Cell Behavior (q-bio.CB)","We derive the main properties of adaptive Hagen-Poiseuille flows in elastic microchannel networks akin to biological veins in organisms. We show that adaptive Hagen-Poiseuille flows successfully simulate key features of \textit{Physarum polycephalum} networks, replicating physiological out-of-equilibrium phenomena like peristalsis and shuttle streaming, associated with the mechanism of nutrient transport in \textit{Physarum}. A new topological steady state has been identified for asynchronous adaptation, supporting out-of-equilibrium laminar fluxes. Adaptive Hagen-Poiseuille flows show saturation effects on the fluxes in contractile veins, as observed in animal and artificial contractile veins.","Thu, 29 Feb 2024 14:09:40 UTC (4,320 KB)"
"40","Why Do Animals Need Shaping? A Theory of Task Composition and Curriculum Learning","Jin Hwa Lee, Stefano Sarao Mannelli, Andrew Saxe","Neurons and Cognition (q-bio.NC)","Diverse studies in systems neuroscience begin with extended periods of training known as 'shaping' procedures. These involve progressively studying component parts of more complex tasks, and can make the difference between learning a task quickly, slowly or not at all. Despite the importance of shaping to the acquisition of complex tasks, there is as yet no theory that can help guide the design of shaping procedures, or more fundamentally, provide insight into its key role in learning. Modern deep reinforcement learning systems might implicitly learn compositional primitives within their multilayer policy networks. Inspired by these models, we propose and analyse a model of deep policy gradient learning of simple compositional reinforcement learning tasks. Using the tools of statistical physics, we solve for exact learning dynamics and characterise different learning strategies including primitives pre-training, in which task primitives are studied individually before learning compositional tasks. We find a complex interplay between task complexity and the efficacy of shaping strategies. Overall, our theory provides an analytical understanding of the benefits of shaping in a class of compositional tasks and a quantitative account of how training protocols can disclose useful task primitives, ultimately yielding faster and more robust learning.","Wed, 28 Feb 2024 14:33:09 UTC (2,889 KB)"
"41","FSL Model can Score Higher as It Is","Yunwei Bai, Ying Kiat Tan, Tsuhan Chen","Computer Vision and Pattern Recognition (cs.CV)","In daily life, we tend to present the front of our faces by staring squarely at a facial recognition machine, instead of facing it sideways, in order to increase the chance of being correctly recognised. Few-shot-learning (FSL) classification is challenging in itself because a model has to identify images that belong to classes previously unseen during training. Therefore, a warped and non-typical query or support image during testing can make it even more challenging for a model to predict correctly. In our work, to increase the chance of correct prediction during testing, we aim to rectify the test input of a trained FSL model by generating new samples of the tested classes through image-to-image translation. An FSL model is usually trained on classes with sufficient samples, and then tested on classes with few-shot samples. Our proposed method first captures the style or shape of the test image, and then identifies a suitable trained class sample. It then transfers the style or shape of the test image to the train-class images for generation of more test-class samples, before performing classification based on a set of generated samples instead of just one sample. Our method has potential in empowering a trained FSL model to score higher during the testing phase without any extra training nor dataset. According to our experiments, by augmenting the support set with just 1 additional generated sample, we can achieve around 2% improvement for trained FSL models on datasets consisting of either animal faces or traffic signs. By augmenting both the support set and the queries, we can achieve even more performance improvement. Our Github Repository is publicly available.","Wed, 28 Feb 2024 12:37:30 UTC (1,944 KB)"
"42","Pach's animal problem within the bounding box","Martin Tancer","Combinatorics (math.CO)","A collection of unit cubes with integer coordinates in $\mathbb R^3$ is an animal if its union is homeomorphic to the 3-ball. Pach's animal problem asks whether any animal can be transformed to a single cube by adding or removing cubes one by one in such a way that any intermediate step is an animal as well. Here we provide an example of an animal that cannot be transformed to a single cube this way within its bounding box.","Wed, 28 Feb 2024 10:04:16 UTC (149 KB)"
"43","From Summary to Action: Enhancing Large Language Models for Complex Tasks with Open World APIs","Yulong Liu, Yunlong Yuan, Chunwei Wang, Jianhua Han, Yongqiang Ma, Li Zhang, Nanning Zheng, Hang Xu","Artificial Intelligence (cs.AI)","The distinction between humans and animals lies in the unique ability of humans to use and create tools. Tools empower humans to overcome physiological limitations, fostering the creation of magnificent civilizations. Similarly, enabling foundational models like Large Language Models (LLMs) with the capacity to learn external tool usage may serve as a pivotal step toward realizing artificial general intelligence. Previous studies in this field have predominantly pursued two distinct approaches to augment the tool invocation capabilities of LLMs. The first approach emphasizes the construction of relevant datasets for model fine-tuning. The second approach, in contrast, aims to fully exploit the inherent reasoning abilities of LLMs through in-context learning strategies. In this work, we introduce a novel tool invocation pipeline designed to control massive real-world APIs. This pipeline mirrors the human task-solving process, addressing complicated real-life user queries. At each step, we guide LLMs to summarize the achieved results and determine the next course of action. We term this pipeline `from Summary to action', Sum2Act for short. Empirical evaluations of our Sum2Act pipeline on the ToolBench benchmark show significant performance improvements, outperforming established methods like ReAct and DFSDT. This highlights Sum2Act's effectiveness in enhancing LLMs for complex real-world tasks.","Wed, 28 Feb 2024 08:42:23 UTC (1,035 KB)"
"44","Prosocial and Financial Incentives for Biodiversity Conservation: A Field Experiment Using a Smartphone App","Shusaku Sasaki, Takahiro Kubo, Shodai Kitano","General Economics (econ.GN)","Ascertaining the number, type, and location of plant, insect, and animal species is essential for biodiversity conservation. However, comprehensively monitoring the situation only through public fixed-point surveys is challenging, and therefore information voluntarily provided by citizens assists in ascertaining the species distribution. To effectively encourage the citizens' data sharing behavior, this study proposed a prosocial incentive scheme in which, if they provide species information, donations are made to activities for saving endangered species. We conducted a field experiment with users (N=830) of a widely-used Japanese smartphone app to which they post species photos and measured the incentive's effect on their posting behavior. In addition, we measured the effect of a financial incentive scheme that provides monetary rewards for posting species photos and compared the two incentives' effects. The analyses revealed that while the prosocial incentive did not increase the number of posts on average, it did change the contents of posts, increasing the proportion of posts on rare species. On the contrary, the financial incentive statistically significantly increased the number of posts, in particular, on less rare and invasive species. Our findings suggest that the prosocial and financial incentives could stimulate different motivations and encourage different posting behaviors.","Wed, 28 Feb 2024 04:51:21 UTC (659 KB)"
"45","EMO: Emote Portrait Alive -- Generating Expressive Portrait Videos with Audio2Video Diffusion Model under Weak Conditions","Linrui Tian, Qi Wang, Bang Zhang, Liefeng Bo","Computer Vision and Pattern Recognition (cs.CV)","In this work, we tackle the challenge of enhancing the realism and expressiveness in talking head video generation by focusing on the dynamic and nuanced relationship between audio cues and facial movements. We identify the limitations of traditional techniques that often fail to capture the full spectrum of human expressions and the uniqueness of individual facial styles. To address these issues, we propose EMO, a novel framework that utilizes a direct audio-to-video synthesis approach, bypassing the need for intermediate 3D models or facial landmarks. Our method ensures seamless frame transitions and consistent identity preservation throughout the video, resulting in highly expressive and lifelike animations. Experimental results demonsrate that EMO is able to produce not only convincing speaking videos but also singing videos in various styles, significantly outperforming existing state-of-the-art methodologies in terms of expressiveness and realism.","Tue, 27 Feb 2024 13:10:11 UTC (18,549 KB)"
"46","CharacterGen: Efficient 3D Character Generation from Single Images with Multi-View Pose Canonicalization","Hao-Yang Peng, Jia-Peng Zhang, Meng-Hao Guo, Yan-Pei Cao, Shi-Min Hu","Computer Vision and Pattern Recognition (cs.CV)","In the field of digital content creation, generating high-quality 3D characters from single images is challenging, especially given the complexities of various body poses and the issues of self-occlusion and pose ambiguity. In this paper, we present CharacterGen, a framework developed to efficiently generate 3D characters. CharacterGen introduces a streamlined generation pipeline along with an image-conditioned multi-view diffusion model. This model effectively calibrates input poses to a canonical form while retaining key attributes of the input image, thereby addressing the challenges posed by diverse poses. A transformer-based, generalizable sparse-view reconstruction model is the other core component of our approach, facilitating the creation of detailed 3D models from multi-view images. We also adopt a texture-back-projection strategy to produce high-quality texture maps. Additionally, we have curated a dataset of anime characters, rendered in multiple poses and views, to train and evaluate our model. Our approach has been thoroughly evaluated through quantitative and qualitative experiments, showing its proficiency in generating 3D characters with high-quality shapes and textures, ready for downstream applications such as rigging and animation.","Tue, 27 Feb 2024 05:10:59 UTC (29,118 KB)[v2] Wed, 28 Feb 2024 08:13:38 UTC (29,118 KB)"
"47","Neural Population Geometry and Optimal Coding of Tasks with Shared Latent Structure","Albert J. Wakhloo, Will Slatton, SueYeon Chung","Neurons and Cognition (q-bio.NC)","Humans and animals can recognize latent structures in their environment and apply this information to efficiently navigate the world. Several recent works argue that the brain supports these abilities by forming neural representations that encode such latent structures in flexible, generalizable ways. However, it remains unclear what aspects of neural population activity are contributing to these computational capabilities. Here, we develop an analytical theory linking the mesoscopic statistics of a neural population's activity to generalization performance on a multi-task learning problem. To do this, we rely on a generative model in which different tasks depend on a common, unobserved latent structure and predictions are formed from a linear readout of a neural population's activity. We show that three geometric measures of the population activity determine generalization performance in these settings. Using this theory, we find that experimentally observed factorized (or disentangled) representations naturally emerge as an optimal solution to the multi-task learning problem. We go on to show that when data is scarce, optimal codes compress less informative latent variables, and when data is abundant, optimal codes expand this information in the state space. We validate predictions from our theory using biological and artificial neural network data. Our results therefore tie neural population geometry to the multi-task learning problem and make normative predictions of the structure of population activity in these settings.","Mon, 26 Feb 2024 17:39:23 UTC (4,469 KB)"
"48","Recent progress in the physical principles of dynamic ground self-righting","Chen Li","Biological Physics (physics.bio-ph)","Animals and robots must be able to self-right on the ground after flipping over to survive or operate. Biology research has described various strategies and measured motor control patterns in many species. Robotics research has designed many mechanisms to enable ground self-righting. However, the physical principles governing ground self-righting transitions are relatively less known, except limited understanding in turtles with rigid shell in two dimensions. Here I review recent progress which I have led in advancing this understanding using cockroaches as model organisms, by integrating biology experiments, robotic modeling, and physics modeling.","Mon, 26 Feb 2024 17:08:14 UTC (1,825 KB)"
"49","Program-Based Strategy Induction for Reinforcement Learning","Carlos G. Correa, Thomas L. Griffiths, Nathaniel D. Daw","Machine Learning (cs.LG)","Typical models of learning assume incremental estimation of continuously-varying decision variables like expected rewards. However, this class of models fails to capture more idiosyncratic, discrete heuristics and strategies that people and animals appear to exhibit. Despite recent advances in strategy discovery using tools like recurrent networks that generalize the classic models, the resulting strategies are often onerous to interpret, making connections to cognition difficult to establish. We use Bayesian program induction to discover strategies implemented by programs, letting the simplicity of strategies trade off against their effectiveness. Focusing on bandit tasks, we find strategies that are difficult or unexpected with classical incremental learning, like asymmetric learning from rewarded and unrewarded trials, adaptive horizon-dependent random exploration, and discrete state switching.","Mon, 26 Feb 2024 15:40:46 UTC (141 KB)"
"50","Domain Embeddings for Generating Complex Descriptions of Concepts in Italian Language","Alessandro Maisto","Computation and Language (cs.CL)","In this work, we propose a Distributional Semantic resource enriched with linguistic and lexical information extracted from electronic dictionaries, designed to address the challenge of bridging the gap between the continuous semantic values represented by distributional vectors and the discrete descriptions offered by general semantics theory. Recently, many researchers have concentrated on the nexus between embeddings and a comprehensive theory of semantics and meaning. This often involves decoding the representation of word meanings in Distributional Models into a set of discrete, manually constructed properties such as semantic primitives or features, using neural decoding techniques. Our approach introduces an alternative strategy grounded in linguistic data. We have developed a collection of domain-specific co-occurrence matrices, derived from two sources: a classification of Italian nouns categorized into 4 semantic traits and 20 concrete noun sub-categories, and a list of Italian verbs classified according to their semantic classes. In these matrices, the co-occurrence values for each word are calculated exclusively with a defined set of words pertinent to a particular lexical domain. The resource comprises 21 domain-specific matrices, one comprehensive matrix, and a Graphical User Interface. Our model facilitates the generation of reasoned semantic descriptions of concepts by selecting matrices directly associated with concrete conceptual knowledge, such as a matrix based on location nouns and the concept of animal habitats. We assessed the utility of the resource through two experiments, achieving promising outcomes in both: the automatic classification of animal nouns and the extraction of animal features.","Mon, 26 Feb 2024 15:04:35 UTC (2,693 KB)"
"51","Cinematographic Camera Diffusion Model","Hongda Jiang, Xi Wang, Marc Christie, Libin Liu, Baoquan Chen","Graphics (cs.GR)","Designing effective camera trajectories in virtual 3D environments is a challenging task even for experienced animators. Despite an elaborate film grammar, forged through years of experience, that enables the specification of camera motions through cinematographic properties (framing, shots sizes, angles, motions), there are endless possibilities in deciding how to place and move cameras with characters. Dealing with these possibilities is part of the complexity of the problem. While numerous techniques have been proposed in the literature (optimization-based solving, encoding of empirical rules, learning from real examples,...), the results either lack variety or ease of control.
In this paper, we propose a cinematographic camera diffusion model using a transformer-based architecture to handle temporality and exploit the stochasticity of diffusion models to generate diverse and qualitative trajectories conditioned by high-level textual descriptions. We extend the work by integrating keyframing constraints and the ability to blend naturally between motions using latent interpolation, in a way to augment the degree of control of the designers. We demonstrate the strengths of this text-to-camera motion approach through qualitative and quantitative experiments and gather feedback from professional artists. The code and data are available at \URL{this https URL}.","Sun, 25 Feb 2024 16:48:25 UTC (48,020 KB)"
"52","Energy-conserving intermittent-contact motion in complex models","Sergey Pankov","Robotics (cs.RO)","Some mechanical systems, that are modeled to have inelastic collisions, nonetheless possess energy-conserving intermittent-contact solutions, known as collisionless solutions. Such a solution, representing a persistent hopping or walking across a level ground, may be important for understanding animal locomotion or for designing efficient walking machines. So far, collisionless motion has been analytically studied in simple two degrees of freedom (DOF) systems, or in a system that decouples into 2-DOF subsystems in the harmonic approximation. In this paper we extend the consideration to a N-DOF system, recovering the known solutions as a special N = 2 case of the general formulation. We show that in the harmonic approximation the collisionless solution is determined by the spectrum of the system. We formulate a solution existence condition, which requires the presence of at least one oscillating normal mode in the most constrained phase of the motion. An application of the developed general framework is illustrated by finding a collisionless solution for a rocking motion of a biped with an armed standing torso.","Sun, 25 Feb 2024 06:59:40 UTC (212 KB)"
"53","CharacterMixer: Rig-Aware Interpolation of 3D Characters","Xiao Zhan, Rao Fu, Daniel Ritchie","Graphics (cs.GR)","We present CharacterMixer, a system for blending two rigged 3D characters with different mesh and skeleton topologies while maintaining a rig throughout interpolation. CharacterMixer also enables interpolation during motion for such characters, a novel feature. Interpolation is an important shape editing operation, but prior methods have limitations when applied to rigged characters: they either ignore the rig (making interpolated characters no longer posable) or use a fixed rig and mesh topology. To handle different mesh topologies, CharacterMixer uses a signed distance field (SDF) representation of character shapes, with one SDF per bone. To handle different skeleton topologies, it computes a hierarchical correspondence between source and target character skeletons and interpolates the SDFs of corresponding bones. This correspondence also allows the creation of a single ""unified skeleton"" for posing and animating interpolated characters. We show that CharacterMixer produces qualitatively better interpolation results than two state-of-the-art methods while preserving a rig throughout interpolation.","Fri, 23 Feb 2024 19:39:24 UTC (44,841 KB)"
"54","Morphological Symmetries in Robotics","Daniel Ordoñez-Apraez, Giulio Turrisi, Vladimir Kostic, Mario Martin, Antonio Agudo, Francesc Moreno-Noguer, Massimiliano Pontil, Claudio Semini, Carlos Mastalli","Robotics (cs.RO)","We present a comprehensive framework for studying and leveraging morphological symmetries in robotic systems. These are intrinsic properties of the robot's morphology, frequently observed in animal biology and robotics, which stem from the replication of kinematic structures and the symmetrical distribution of mass. We illustrate how these symmetries extend to the robot's state space and both proprioceptive and exteroceptive sensor measurements, resulting in the equivariance of the robot's equations of motion and optimal control policies. Thus, we recognize morphological symmetries as a relevant and previously unexplored physics-informed geometric prior, with significant implications for both data-driven and analytical methods used in modeling, control, estimation and design in robotics. For data-driven methods, we demonstrate that morphological symmetries can enhance the sample efficiency and generalization of machine learning models through data augmentation, or by applying equivariant/invariant constraints on the model's architecture. In the context of analytical methods, we employ abstract harmonic analysis to decompose the robot's dynamics into a superposition of lower-dimensional, independent dynamics. We substantiate our claims with both synthetic and real-world experiments conducted on bipedal and quadrupedal robots. Lastly, we introduce the repository MorphoSymm to facilitate the practical use of the theory and applications outlined in this work.","Fri, 23 Feb 2024 17:21:21 UTC (33,883 KB)"
"55","Retinotopic Mapping Enhances the Robustness of Convolutional Neural Networks","Jean-Nicolas Jérémie, Emmanuel Daucé, Laurent U Perrinet","Computer Vision and Pattern Recognition (cs.CV)","Foveated vision, a trait shared by many animals, including humans, has not been fully utilized in machine learning applications, despite its significant contributions to biological visual function. This study investigates whether retinotopic mapping, a critical component of foveated vision, can enhance image categorization and localization performance when integrated into deep convolutional neural networks (CNNs). Retinotopic mapping was integrated into the inputs of standard off-the-shelf convolutional neural networks (CNNs), which were then retrained on the ImageNet task. As expected, the logarithmic-polar mapping improved the network's ability to handle arbitrary image zooms and rotations, particularly for isolated objects. Surprisingly, the retinotopically mapped network achieved comparable performance in classification. Furthermore, the network demonstrated improved classification localization when the foveated center of the transform was shifted. This replicates a crucial ability of the human visual system that is absent in typical convolutional neural networks (CNNs). These findings suggest that retinotopic mapping may be fundamental to significant preattentive visual processes.","Fri, 23 Feb 2024 18:15:37 UTC (33,786 KB)"
"56","Charting Ethical Tensions in Multispecies Technology Research through Beneficiary-Epistemology Space","Steve Benford, Clara Mancini, Alan Chamberlain, Eike Schneiders, Simon Castle-Green, Joel Fischer, Ayse Kucukyilmaz, Guido Salimbeni, Victor Ngo, Pepita Barnard, Matt Adams, Nick Tandavanitj, Ju Row Farr","Human-Computer Interaction (cs.HC)","While ethical challenges are widely discussed in HCI, far less is reported about the ethical processes that researchers routinely navigate. We reflect on a multispecies project that negotiated an especially complex ethical approval process. Cat Royale was an artist-led exploration of creating an artwork to engage audiences in exploring trust in autonomous systems. The artwork took the form of a robot that played with three cats. Gaining ethical approval required an extensive dialogue with three Institutional Review Boards (IRBs) covering computer science, veterinary science and animal welfare, raising tensions around the welfare of the cats, perceived benefits and appropriate methods, and reputational risk to the University. To reveal these tensions we introduce beneficiary-epistemology space, that makes explicit who benefits from research (humans or animals) and underlying epistemologies. Positioning projects and IRBs in this space can help clarify tensions and highlight opportunities to recruit additional expertise.","Fri, 23 Feb 2024 16:57:39 UTC (1,973 KB)"
"57","Designing Multispecies Worlds for Robots, Cats, and Humans","Eike Schneiders, Steve Benford, Alan Chamberlain, Clara Mancini, Simon Castle-Green, Victor Ngo, Ju Row Farr, Matt Adams, Nick Tandavanitj, Joel Fischer","Human-Computer Interaction (cs.HC)","We reflect on the design of a multispecies world centred around a bespoke enclosure in which three cats and a robot arm coexist for six hours a day during a twelve-day installation as part of an artist-led project. In this paper, we present the project's design process, encompassing various interconnected components, including the cats, the robot and its autonomous systems, the custom end-effectors and robot attachments, the diverse roles of the humans-in-the-loop, and the custom-designed enclosure. Subsequently, we provide a detailed account of key moments during the deployment and discuss the design implications for future multispecies systems. Specifically, we argue that designing the technology and its interactions is not sufficient, but that it is equally important to consider the design of the `world' in which the technology operates. Finally, we highlight the necessity of human involvement in areas such as breakdown recovery, animal welfare, and their role as audience.","Fri, 23 Feb 2024 16:51:09 UTC (15,556 KB)"
"58","Homeostatic motion planning with innate physics knowledge","Giulia Lafratta, Bernd Porr, Christopher Chandler, Alice Miller","Robotics (cs.RO)","Living organisms interact with their surroundings in a closed-loop fashion, where sensory inputs dictate the initiation and termination of behaviours. Even simple animals are able to develop and execute complex plans, which has not yet been replicated in robotics using pure closed-loop input control. We propose a solution to this problem by defining a set of discrete and temporary closed-loop controllers, called ""tasks"", each representing a closed-loop behaviour. We further introduce a supervisory module which has an innate understanding of physics and causality, through which it can simulate the execution of task sequences over time and store the results in a model of the environment. On the basis of this model, plans can be made by chaining temporary closed-loop controllers. The proposed framework was implemented for a real robot and tested in two scenarios as proof of concept.","Fri, 23 Feb 2024 15:30:57 UTC (5,313 KB)"
"59","All Thresholds Barred: Direct Estimation of Call Density in Bioacoustic Data","Amanda K. Navine, Tom Denton, Matthew J. Weldy, Patrick J. Hart","Quantitative Methods (q-bio.QM)","Passive acoustic monitoring (PAM) studies generate thousands of hours of audio, which may be used to monitor specific animal populations, conduct broad biodiversity surveys, detect threats such as poachers, and more. Machine learning classifiers for species identification are increasingly being used to process the vast amount of audio generated by bioacoustic surveys, expediting analysis and increasing the utility of PAM as a management tool. In common practice, a threshold is applied to classifier output scores, and scores above the threshold are aggregated into a detection count. The choice of threshold produces biased counts of vocalizations, which are subject to false positive/negative rates that may vary across subsets of the dataset. In this work, we advocate for directly estimating call density: The proportion of detection windows containing the target vocalization, regardless of classifier score. Our approach targets a desirable ecological estimator and provides a more rigorous grounding for identifying the core problems caused by distribution shifts -- when the defining characteristics of the data distribution change -- and designing strategies to mitigate them. We propose a validation scheme for estimating call density in a body of data and obtain, through Bayesian reasoning, probability distributions of confidence scores for both the positive and negative classes. We use these distributions to predict site-level densities, which may be subject to distribution shifts. We test our proposed methods on a real-world study of Hawaiian birds and provide simulation results leveraging existing fully annotated datasets, demonstrating robustness to variations in call density and classifier model quality.","Fri, 23 Feb 2024 14:52:44 UTC (297 KB)"
"60","Elastic interactions compete with persistent cell motility to drive durotaxis","Subhaya Bose, Haiqin Wang, Xinpeng Xu, Arvind Gopinath, Kinjal Dasbiswas","Soft Condensed Matter (cond-mat.soft)","Many animal cells crawling on elastic substrates exhibit durotaxis and have implications in several biological processes including tissue development, and tumor progression. Here, we introduce a phenomenological model for durotactic migration incorporating both elastic deformation-mediated cell-substrate interactions and the stochasticity of cell migration. Our model is motivated by the key observation in one of the first demonstrations of durotaxis: a single contractile cell at an interface between a softer and a stiffer region of an elastic substrate reorients and migrates towards the stiffer region. We model migrating cells as self-propelling, persistently motile agents that exert contractile, dipolar traction forces on the underlying elastic substrate. The resulting substrate deformations induce elastic interactions with mechanical boundaries, captured by an elastic potential that depends on cell position and orientation relative to the boundary. The potential is attractive or repulsive depending on whether the mechanical boundary condition is clamped or free, which represents the cell being on the softer or stiffer side, respectively, of a confining boundary. The forces and torques from the interactions drive cells to orient perpendicular (parallel) to the boundary and accumulate (deplete) at the clamped (free) boundary, extent of which is determined by elastic potential (A) and motility (Pe). While the elastic interaction drives durotaxis, cell migratory movements such as random reorientation and self-propulsion enable the cell from the attractive potential thereby reducing durotaxis. We define metrics quantifying boundary accumulation and durotaxis and present a phase diagram that identifies three possible regimes: durotaxis, adurotaxis without accumulation and adurotaxis with motility-induced accumulation at a confining boundary.","Fri, 23 Feb 2024 01:02:24 UTC (4,186 KB)"
"61","Object permanence in newborn chicks is robust against opposing evidence","Justin N. Wood, Tomer D. Ullman, Brian W. Wood, Elizabeth S. Spelke, Samantha M. W. Wood","Neurons and Cognition (q-bio.NC)","Newborn animals have advanced perceptual skills at birth, but the nature of this initial knowledge is unknown. Is initial knowledge flexible, continuously adapting to the statistics of experience? Or can initial knowledge be rigid and robust to change, even in the face of opposing evidence? We address this question through controlled-rearing experiments on newborn chicks. First, we reared chicks in an impoverished virtual world, where objects never occluded one another, and found that chicks still succeed on object permanence tasks. Second, we reared chicks in a virtual world in which objects teleported from one location to another while out of view: an unnatural event that violates the continuity of object motion. Despite seeing thousands of these violations of object permanence, and not a single non-violation, the chicks behaved as if object permanence were true, exhibiting the same behavior as chicks reared with natural object permanence events. We conclude that object permanence develops prenatally and is robust to change from opposing evidence.","Thu, 22 Feb 2024 15:39:29 UTC (545 KB)"
"62","Semantic Image Synthesis with Unconditional Generator","Jungwoo Chae, Hyunin Cho, Sooyeon Go, Kyungmook Choi, Youngjung Uh","Computer Vision and Pattern Recognition (cs.CV)","Semantic image synthesis (SIS) aims to generate realistic images that match given semantic masks. Despite recent advances allowing high-quality results and precise spatial control, they require a massive semantic segmentation dataset for training the models. Instead, we propose to employ a pre-trained unconditional generator and rearrange its feature maps according to proxy masks. The proxy masks are prepared from the feature maps of random samples in the generator by simple clustering. The feature rearranger learns to rearrange original feature maps to match the shape of the proxy masks that are either from the original sample itself or from random samples. Then we introduce a semantic mapper that produces the proxy masks from various input conditions including semantic masks. Our method is versatile across various applications such as free-form spatial editing of real images, sketch-to-photo, and even scribble-to-photo. Experiments validate advantages of our method on a range of datasets: human faces, animal faces, and buildings.","Thu, 22 Feb 2024 09:10:28 UTC (45,393 KB)"
"63","The Architecture of Sponge Choanocyte Chambers Maximizes Mechanical Pumping Efficiency","Takumi Ogawa, Shuji Koyama, Toshihiro Omori, Kenji Kikuchi, Helene de Maleprade, Raymond E. Goldstein, Takuji Ishikawa","Soft Condensed Matter (cond-mat.soft)","Sponges, the basalmost members of the animal kingdom, exhibit a range of complex architectures in which microfluidic channels connect multitudes of spherical chambers lined with choanocytes, flagellated filter-feeding cells. Choanocyte chambers can possess scores or even hundreds of such cells, which drive complex flows entering through porous walls and exiting into the sponge channels. One of the mysteries of the choanocyte chamber is its spherical shape, as it seems inappropriate for inducing directional transport since many choanocyte flagella beat in opposition to such a flow. Here we combine direct imaging of choanocyte chambers in living sponges with computational studies of many-flagella models to understand the connection between chamber architecture and directional flow. We find that those flagella that beat against the flow play a key role in raising the pressure inside the choanocyte chamber, with the result that the mechanical pumping efficiency, calculated from the pressure rise and flow rate, reaches a maximum at a small outlet opening angle. Comparison between experimental observations and the results of numerical simulations reveal that the chamber diameter, flagellar wave number and the outlet opening angle of the freshwater sponge $E. muelleri$, as well as several other species, are related in a manner that maximizes the mechanical pumping efficiency. These results indicate the subtle balances at play during morphogenesis of choanocyte chambers, and give insights into the physiology and body design of sponges.","Thu, 22 Feb 2024 08:05:05 UTC (5,462 KB)"
"64","Strategies and safety simulations for ultrasonic cervical spinal cord neuromodulation","Rui Xu, Sven Bestmann, Bradley E. Treeby, Eleanor Martin","Medical Physics (physics.med-ph)","Focused ultrasound spinal cord neuromodulation studies have demonstrated spinal cord neuromodulation in small animals. The safe and efficacious translation of these approaches to human scale requires an understanding of ultrasound propagation and heat deposition within the human spine. To address this, combined acoustic and thermal modelling was used to assess the pressure and heat distributions produced by a 500 kHz source focused to the C5/C6 level of the cervical spine via two approaches a) the posterior acoustic window between vertebral posterior arches, or b) the lateral intervertebral foramen from which the C6 spinal nerve exits. Pulse trains of 150 0.1 s pulses with a pulse repetition frequency of 0.33 Hz and free-field spatial peak pulse-averaged intensity of 10 W/cm^2 were simulated for the CT volumes of four subjects and for $\pm$10 mm translational and $\pm$10° rotational source positioning errors. Target pressures ranged between 20% and 70% of free-field spatial peak pressures with the posterior approach, and 20% and 100% with the lateral approach. When the source was optimally positioned with the posterior approach, peak spine heating values were below 1°C, but source mis-positioning resulted in bone heating up to 4°C. Heating with the lateral approach did not exceed 2°C within the mispositioning range. There were substantial inter-subject differences in target pressures and peak heating values. Target pressure varied three to four-fold between subjects, depending on approach, while peak heating varied approximately two-fold between subjects. This results in a near ten-fold range in the target pressure achieved per degree of peak heating between subjects. This highlights the importance of developing trans-spine ultrasound simulation software for the assurance of subject-specific safety and efficacy of focused ultrasound spinal cord therapies.","Wed, 21 Feb 2024 20:34:52 UTC (5,768 KB)"
